issue_key,file_path,file,rule,message,line,type,effort,impact_severity,impact_quality,rank,llm_reasoning
AZ4HYWhbUdMD1-xUpqpu,hibernate-c3p0/src/main/java/org/hibernate/c3p0/internal/C3P0ConnectionProvider.java,C3P0ConnectionProvider.java,java:S2095,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause.",71.0,BUG,5min,HIGH,RELIABILITY,1,"This is a BUG-type alert (java:S2095) about an unclosed Connection resource in C3P0ConnectionProvider.java, which can cause connection leaks in a database connection provider — a critical infrastructure component. The file has a reliability rating of E (worst possible) and is the only file with a bug, making this the highest-priority issue. Resource leaks in connection management code can cause severe production issues."
AZ4HYWhbUdMD1-xUpqpw,hibernate-c3p0/src/main/java/org/hibernate/c3p0/internal/C3P0ConnectionProvider.java,C3P0ConnectionProvider.java,java:S2864,"Iterate over the ""entrySet"" instead of the ""keySet"".",156.0,CODE_SMELL,5min,MEDIUM,MAINTAINABILITY,2,"This CODE_SMELL in C3P0ConnectionProvider.java (iterating over keySet instead of entrySet) is in the same file with reliability rating E and 1 bug. While a code smell, inefficient map iteration in a connection provider can have performance implications. The file context (E reliability rating, file_bugs=1) elevates its priority."
AZ4HYWhbUdMD1-xUpqpv,hibernate-c3p0/src/main/java/org/hibernate/c3p0/internal/C3P0ConnectionProvider.java,C3P0ConnectionProvider.java,java:S3008,"Rename this field ""HIBERNATE_STYLE_SETTING_PREFIX"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",46.0,CODE_SMELL,2min,LOW,MAINTAINABILITY,3,"This CODE_SMELL about field naming in C3P0ConnectionProvider.java shares the same E reliability-rated file with the BUG alert. While a naming convention issue is lower risk, the poor file health (reliability E, file_bugs=1) warrants attention to all issues in this file. Effort is minimal at 2 minutes."
AZ4HYWhbUdMD1-xUpqpx,hibernate-c3p0/src/main/java/org/hibernate/c3p0/internal/C3P0ConnectionProvider.java,C3P0ConnectionProvider.java,java:S1133,Do not forget to remove this deprecated code someday.,248.0,CODE_SMELL,10min,LOW,MAINTAINABILITY,4,This CODE_SMELL about deprecated code in C3P0ConnectionProvider.java is in the same E-reliability file. Deprecated code that hasn't been removed can accumulate technical debt and mask bugs. The file context (reliability E) makes all issues here worth investigating.
AZ4HYWYGUdMD1-xUpqgm,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/OracleLegacyDialect.java,OracleLegacyDialect.java,java:S128,"End this switch case with an unconditional break, return or throw statement.",525.0,CODE_SMELL,10min,HIGH,MAINTAINABILITY,5,"This is a switch fall-through BUG-pattern (java:S128) in OracleLegacyDialect.java, which can cause unintended execution of multiple cases. The file has very high complexity (file_complexity=280, file_cognitive_complexity=131) and 9 violations, making logic errors harder to detect and more impactful."
AZ4HYWXUUdMD1-xUpqf8,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/HSQLLegacyDialect.java,HSQLLegacyDialect.java,java:S128,"End this switch case with an unconditional break, return or throw statement.",384.0,CODE_SMELL,10min,HIGH,MAINTAINABILITY,6,"This switch fall-through alert (java:S128) in HSQLLegacyDialect.java can lead to unintended behavior when switch cases fall through without a break. The file has high complexity (file_complexity=145, file_cognitive_complexity=55) and 9 violations, increasing the risk of this issue causing real bugs."
AZ4HYWYGUdMD1-xUpqgl,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/OracleLegacyDialect.java,OracleLegacyDialect.java,java:S3776,Refactor this method to reduce its Cognitive Complexity from 21 to the 15 allowed.,372.0,CODE_SMELL,11min,HIGH,MAINTAINABILITY,7,"This cognitive complexity alert (java:S3776) in OracleLegacyDialect.java flags a method with complexity of 21 vs. the allowed 15, in a file with extremely high overall complexity (file_complexity=280, cognitive=131) and 9 violations. High complexity in Oracle dialect code increases maintenance risk and likelihood of defects."
AZ4HYWZ8UdMD1-xUpqiF,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdSqlAstTranslator.java,FirebirdSqlAstTranslator.java,java:S1117,"Rename ""inFunction"" which hides the field declared at line 48.",292.0,CODE_SMELL,5min,MEDIUM,MAINTAINABILITY,8,"Variable shadowing (java:S1117) in FirebirdSqlAstTranslator.java where a local 'inFunction' hides a field can cause subtle logic bugs where the wrong variable is used. The file has high cognitive complexity (45) and 3 violations, making shadowing particularly risky in complex translation logic."
AZ4HYWZ8UdMD1-xUpqiG,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdSqlAstTranslator.java,FirebirdSqlAstTranslator.java,java:S1117,"Rename ""inFunction"" which hides the field declared at line 48.",305.0,CODE_SMELL,5min,MEDIUM,MAINTAINABILITY,9,"This is a second instance of variable shadowing (java:S1117) for 'inFunction' in FirebirdSqlAstTranslator.java at a different line, compounding the risk of the same issue. Both shadowing alerts in this high-cognitive-complexity file (45) should be investigated together."
AZ4HYWaRUdMD1-xUpqio,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/H2LegacySqlAstTranslator.java,H2LegacySqlAstTranslator.java,java:S1117,"Rename ""renderAsArray"" which hides the field declared at line 48.",186.0,CODE_SMELL,5min,MEDIUM,MAINTAINABILITY,10,"Variable shadowing (java:S1117) in H2LegacySqlAstTranslator.java where 'renderAsArray' hides a field can cause logic errors in SQL AST translation. The file has moderate complexity (file_cognitive_complexity=32) and 4 violations, and shadowing in translation logic can produce incorrect SQL."
AZ4HYWaRUdMD1-xUpqip,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/H2LegacySqlAstTranslator.java,H2LegacySqlAstTranslator.java,java:S1117,"Rename ""renderAsArray"" which hides the field declared at line 48.",198.0,CODE_SMELL,5min,MEDIUM,MAINTAINABILITY,11,"A second instance of 'renderAsArray' shadowing in H2LegacySqlAstTranslator.java at line 198, compounding the risk identified in alert 32. Both occurrences should be fixed together to ensure the correct field is always referenced in SQL generation."
AZ4HYWaRUdMD1-xUpqim,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/H2LegacySqlAstTranslator.java,H2LegacySqlAstTranslator.java,java:S4274,Replace this assert with a proper check.,65.0,CODE_SMELL,5min,MEDIUM,MAINTAINABILITY,12,"The assert replacement alert (java:S4274) in H2LegacySqlAstTranslator.java flags use of Java assert statements that may be disabled at runtime, potentially masking errors. In SQL translation code with moderate complexity (cognitive=32), silent assertion failures could lead to incorrect behavior."
AZ4HYWXaUdMD1-xUpqgI,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CockroachLegacyDialect.java,CockroachLegacyDialect.java,java:S131,Add a default case to this switch.,226.0,CODE_SMELL,5min,HIGH,MAINTAINABILITY,13,"Missing default case in a switch (java:S131) in CockroachLegacyDialect.java can cause silent failures when unexpected values are encountered. The file has extremely high complexity (file_complexity=218, cognitive=102) and 17 violations, making unhandled cases particularly risky."
AZ4HYWXaUdMD1-xUpqgJ,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CockroachLegacyDialect.java,CockroachLegacyDialect.java,java:S131,Add a default case to this switch.,269.0,CODE_SMELL,5min,HIGH,MAINTAINABILITY,14,"Another missing default case (java:S131) in CockroachLegacyDialect.java at line 269, in the same highly complex file (complexity=218, cognitive=102) with 17 violations. Multiple missing default cases in a complex dialect file increase the risk of unhandled input scenarios."
AZ4HYWXaUdMD1-xUpqgK,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CockroachLegacyDialect.java,CockroachLegacyDialect.java,java:S131,Add a default case to this switch.,271.0,CODE_SMELL,5min,HIGH,MAINTAINABILITY,15,"Third missing default case (java:S131) in CockroachLegacyDialect.java at line 271, adjacent to alert 5. The clustering of missing default cases in this highly complex file (17 violations, cognitive complexity 102) suggests systematic incomplete switch handling."
