issue_key,file_path,file,rule,impact_severity,impact_quality,type,message,line,effort,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,sqale_index,lines,reliability_rating,security_rating,commit_count,unique_authors,churn,days_since_modified,satd_count,satd_text,pool_rank
AZ4HYWhbUdMD1-xUpqpu,hibernate-c3p0/src/main/java/org/hibernate/c3p0/internal/C3P0ConnectionProvider.java,C3P0ConnectionProvider.java,java:S2095,HIGH,RELIABILITY,BUG,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause.",71.0,5min,1.0,0.0,3.0,4.0,27.0,26.0,17.0,257.0,E,A,13,1,147,108,,,1
AZ4HYWbHUdMD1-xUpqjf,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/AltibaseDialect.java,AltibaseDialect.java,java:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,342.0,7min,0.0,0.0,1.0,1.0,136.0,38.0,7.0,654.0,A,A,7,4,172,9,,,2
AZ4HYWXaUdMD1-xUpqgE,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CockroachLegacyDialect.java,CockroachLegacyDialect.java,java:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""string"" 3 times.",205.0,8min,0.0,0.0,17.0,17.0,218.0,102.0,99.0,1166.0,A,A,15,5,301,33,,,3
AZ4HYWXaUdMD1-xUpqgI,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CockroachLegacyDialect.java,CockroachLegacyDialect.java,java:S131,HIGH,MAINTAINABILITY,CODE_SMELL,Add a default case to this switch.,226.0,5min,0.0,0.0,17.0,17.0,218.0,102.0,99.0,1166.0,A,A,15,5,301,33,,,4
AZ4HYWXaUdMD1-xUpqgJ,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CockroachLegacyDialect.java,CockroachLegacyDialect.java,java:S131,HIGH,MAINTAINABILITY,CODE_SMELL,Add a default case to this switch.,269.0,5min,0.0,0.0,17.0,17.0,218.0,102.0,99.0,1166.0,A,A,15,5,301,33,,,5
AZ4HYWXaUdMD1-xUpqgK,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CockroachLegacyDialect.java,CockroachLegacyDialect.java,java:S131,HIGH,MAINTAINABILITY,CODE_SMELL,Add a default case to this switch.,271.0,5min,0.0,0.0,17.0,17.0,218.0,102.0,99.0,1166.0,A,A,15,5,301,33,,,6
AZ4HYWXaUdMD1-xUpqgL,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CockroachLegacyDialect.java,CockroachLegacyDialect.java,java:S131,HIGH,MAINTAINABILITY,CODE_SMELL,Add a default case to this switch.,322.0,5min,0.0,0.0,17.0,17.0,218.0,102.0,99.0,1166.0,A,A,15,5,301,33,,,7
AZ4HYWaiUdMD1-xUpqi9,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CommunityDialectSelector.java,CommunityDialectSelector.java,java:S131,HIGH,MAINTAINABILITY,CODE_SMELL,Add a default case to this switch.,22.0,5min,0.0,0.0,2.0,2.0,51.0,2.0,35.0,126.0,A,A,2,2,57,246,,,8
AZ4HYWYnUdMD1-xUpqhA,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/DB2LegacyDialect.java,DB2LegacyDialect.java,java:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""date '"" 3 times.",564.0,8min,0.0,0.0,3.0,3.0,169.0,64.0,24.0,1092.0,A,A,12,4,380,153,,,9
AZ4HYWYnUdMD1-xUpqhC,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/DB2LegacyDialect.java,DB2LegacyDialect.java,java:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""time '"" 3 times.",569.0,8min,0.0,0.0,3.0,3.0,169.0,64.0,24.0,1092.0,A,A,12,4,380,153,,,10
AZ4HYWYnUdMD1-xUpqhB,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/DB2LegacyDialect.java,DB2LegacyDialect.java,java:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""timestamp '"" 3 times.",574.0,8min,0.0,0.0,3.0,3.0,169.0,64.0,24.0,1092.0,A,A,12,4,380,153,,,11
AZ4HYWWNUdMD1-xUpqfV,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/DB2LegacySqlAstTranslator.java,DB2LegacySqlAstTranslator.java,java:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""xmlserialize("" 8 times.",388.0,18min,0.0,0.0,2.0,2.0,112.0,93.0,36.0,523.0,A,A,2,1,23,178,,,12
AZ4HYWXUUdMD1-xUpqf8,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/HSQLLegacyDialect.java,HSQLLegacyDialect.java,java:S128,HIGH,MAINTAINABILITY,CODE_SMELL,"End this switch case with an unconditional break, return or throw statement.",384.0,10min,0.0,0.0,9.0,9.0,145.0,55.0,45.0,868.0,A,A,11,4,181,107,,,13
AZ4HYWalUdMD1-xUpqi_,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/MySQLLegacySqlAstTranslator.java,MySQLLegacySqlAstTranslator.java,java:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,147.0,6min,0.0,0.0,1.0,1.0,49.0,35.0,6.0,271.0,A,A,4,4,87,93,,,14
AZ4HYWYGUdMD1-xUpqgj,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/OracleLegacyDialect.java,OracleLegacyDialect.java,java:S115,HIGH,MAINTAINABILITY,CODE_SMELL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,169.0,2min,0.0,0.0,9.0,9.0,280.0,131.0,69.0,1519.0,A,A,14,6,241,9,,,15
AZ4HYWYGUdMD1-xUpqgl,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/OracleLegacyDialect.java,OracleLegacyDialect.java,java:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this method to reduce its Cognitive Complexity from 21 to the 15 allowed.,372.0,11min,0.0,0.0,9.0,9.0,280.0,131.0,69.0,1519.0,A,A,14,6,241,9,,,16
AZ4HYWYGUdMD1-xUpqgm,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/OracleLegacyDialect.java,OracleLegacyDialect.java,java:S128,HIGH,MAINTAINABILITY,CODE_SMELL,"End this switch case with an unconditional break, return or throw statement.",525.0,10min,0.0,0.0,9.0,9.0,280.0,131.0,69.0,1519.0,A,A,14,6,241,9,,,17
AZ4HYWhbUdMD1-xUpqpw,hibernate-c3p0/src/main/java/org/hibernate/c3p0/internal/C3P0ConnectionProvider.java,C3P0ConnectionProvider.java,java:S2864,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Iterate over the ""entrySet"" instead of the ""keySet"".",156.0,5min,1.0,0.0,3.0,4.0,27.0,26.0,17.0,257.0,E,A,13,1,147,108,,,18
AZ4HYWZXUdMD1-xUpqhZ,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/AltibaseSqlAstTranslator.java,AltibaseSqlAstTranslator.java,java:S1066,MEDIUM,MAINTAINABILITY,CODE_SMELL,Merge this if statement with the enclosing one.,63.0,5min,0.0,0.0,1.0,1.0,35.0,18.0,5.0,179.0,A,A,1,1,29,313,,,19
AZ4HYWYvUdMD1-xUpqhE,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CUBRIDDialect.java,CUBRIDDialect.java,java:S125,MEDIUM,MAINTAINABILITY,CODE_SMELL,This block of commented-out lines of code should be removed.,227.0,5min,0.0,0.0,4.0,4.0,65.0,9.0,15.0,521.0,A,A,3,3,63,246,,,20
AZ4HYWYvUdMD1-xUpqhG,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CUBRIDDialect.java,CUBRIDDialect.java,java:S125,MEDIUM,MAINTAINABILITY,CODE_SMELL,This block of commented-out lines of code should be removed.,242.0,5min,0.0,0.0,4.0,4.0,65.0,9.0,15.0,521.0,A,A,3,3,63,246,,,21
AZ4HYWYvUdMD1-xUpqhH,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CUBRIDDialect.java,CUBRIDDialect.java,java:S125,MEDIUM,MAINTAINABILITY,CODE_SMELL,This block of commented-out lines of code should be removed.,254.0,5min,0.0,0.0,4.0,4.0,65.0,9.0,15.0,521.0,A,A,3,3,63,246,,,22
AZ4HYWZTUdMD1-xUpqhY,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CommunityDatabase.java,CommunityDatabase.java,java:S1172,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Remove this unused method parameter ""jdbcUrl"".",237.0,5min,0.0,0.0,1.0,1.0,45.0,0.0,5.0,255.0,A,A,4,3,61,11,,,23
AZ4HYWaiUdMD1-xUpqi-,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CommunityDialectSelector.java,CommunityDialectSelector.java,java:S1479,MEDIUM,MAINTAINABILITY,CODE_SMELL,Reduce the number of non-empty switch cases from 49 to at most 30.,22.0,30min,0.0,0.0,2.0,2.0,51.0,2.0,35.0,126.0,A,A,2,2,57,246,,,24
AZ4HYWY_UdMD1-xUpqhQ,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/DerbyLegacyDialect.java,DerbyLegacyDialect.java,java:S125,MEDIUM,MAINTAINABILITY,CODE_SMELL,This block of commented-out lines of code should be removed.,713.0,5min,0.0,0.0,5.0,5.0,121.0,30.0,10.0,1028.0,A,A,8,4,252,153,,,25
AZ4HYWa7UdMD1-xUpqjO,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdDialect.java,FirebirdDialect.java,java:S125,MEDIUM,MAINTAINABILITY,CODE_SMELL,This block of commented-out lines of code should be removed.,908.0,5min,0.0,0.0,6.0,6.0,198.0,92.0,42.0,1098.0,A,A,5,4,375,285,,,26
AZ4HYWa7UdMD1-xUpqjN,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdDialect.java,FirebirdDialect.java,java:S1066,MEDIUM,MAINTAINABILITY,CODE_SMELL,Merge this if statement with the enclosing one.,949.0,5min,0.0,0.0,6.0,6.0,198.0,92.0,42.0,1098.0,A,A,5,4,375,285,,,27
AZ4HYWZ8UdMD1-xUpqiE,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdSqlAstTranslator.java,FirebirdSqlAstTranslator.java,java:S1066,MEDIUM,MAINTAINABILITY,CODE_SMELL,Merge this if statement with the enclosing one.,186.0,5min,0.0,0.0,3.0,3.0,59.0,45.0,15.0,356.0,A,A,2,2,92,332,,,28
AZ4HYWZ8UdMD1-xUpqiF,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdSqlAstTranslator.java,FirebirdSqlAstTranslator.java,java:S1117,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Rename ""inFunction"" which hides the field declared at line 48.",292.0,5min,0.0,0.0,3.0,3.0,59.0,45.0,15.0,356.0,A,A,2,2,92,332,,,29
AZ4HYWZ8UdMD1-xUpqiG,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdSqlAstTranslator.java,FirebirdSqlAstTranslator.java,java:S1117,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Rename ""inFunction"" which hides the field declared at line 48.",305.0,5min,0.0,0.0,3.0,3.0,59.0,45.0,15.0,356.0,A,A,2,2,92,332,,,30
AZ4HYWaRUdMD1-xUpqim,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/H2LegacySqlAstTranslator.java,H2LegacySqlAstTranslator.java,java:S4274,MEDIUM,MAINTAINABILITY,CODE_SMELL,Replace this assert with a proper check.,65.0,5min,0.0,0.0,4.0,4.0,56.0,32.0,17.0,311.0,A,A,0,0,0,0,,,31
AZ4HYWaRUdMD1-xUpqio,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/H2LegacySqlAstTranslator.java,H2LegacySqlAstTranslator.java,java:S1117,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Rename ""renderAsArray"" which hides the field declared at line 48.",186.0,5min,0.0,0.0,4.0,4.0,56.0,32.0,17.0,311.0,A,A,0,0,0,0,,,32
