issue_key,file_path,file,rule,impact_severity,impact_quality,type,message,line,effort,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,sqale_index,lines,reliability_rating,security_rating,commit_count,unique_authors,churn,days_since_modified,satd_count,satd_text,pool_rank,c3_rank,llm_reasoning
AZ4HYWhbUdMD1-xUpqpu,hibernate-c3p0/src/main/java/org/hibernate/c3p0/internal/C3P0ConnectionProvider.java,C3P0ConnectionProvider.java,java:S2095,HIGH,RELIABILITY,BUG,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause.",71.0,5min,1.0,0.0,3.0,4.0,27.0,26.0,17.0,257.0,E,A,13,1,147,108,2.0,"@author various people | as soon as we obtain a new connection. This maybe isn't ideal,",1,1,"This is a BUG-type alert (java:S2095) about an unclosed Connection resource, which can cause connection leaks in a database connection provider. The file has a reliability rating of E (worst), confirming real defect risk. The file is actively maintained (13 commits, 147 churn) and has SATD noting connection handling concerns ('as soon as we obtain a new connection. This maybe isn't ideal'), reinforcing that this area is known to be problematic."
AZ4HYWYGUdMD1-xUpqgm,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/OracleLegacyDialect.java,OracleLegacyDialect.java,java:S128,HIGH,MAINTAINABILITY,CODE_SMELL,"End this switch case with an unconditional break, return or throw statement.",525.0,10min,0.0,0.0,9.0,9.0,280.0,131.0,69.0,1519.0,A,A,14,6,241,9,5.0,"Approximate octet and bit length for clobs since exact size determination would require a custom function | TODO: provide a way to change this without a custom Dialect | also get reported this way, so take care) | Until 12.2 there was a bug in the Oracle query rewriter causing ORA-00918 | when the query contains duplicate implicit aliases in the select clause",17,2,"This is a switch case fall-through alert (java:S128) in OracleLegacyDialect.java, which can cause unintended execution of multiple cases and is a real behavioral bug risk. The file has extremely high complexity (cyclomatic 280, cognitive 131), 14 commits, 6 unique authors, and 5 SATD comments including notes about Oracle bugs and query rewriter issues, indicating a high-risk, actively maintained file where subtle logic errors are plausible."
AZ4HYWXUUdMD1-xUpqf8,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/HSQLLegacyDialect.java,HSQLLegacyDialect.java,java:S128,HIGH,MAINTAINABILITY,CODE_SMELL,"End this switch case with an unconditional break, return or throw statement.",384.0,10min,0.0,0.0,9.0,9.0,145.0,55.0,45.0,868.0,A,A,11,4,181,107,1.0,"TODO: does not support MICROSECOND, but on the",13,3,"This is a switch case fall-through alert (java:S128) in HSQLLegacyDialect.java, which can cause unintended behavior when multiple cases execute. The file has high complexity (cyclomatic 145, cognitive 55), 11 commits, 4 unique authors, and a SATD comment about unsupported functionality, suggesting active development in a complex area where fall-through bugs are worth investigating."
AZ4HYWZ8UdMD1-xUpqiF,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdSqlAstTranslator.java,FirebirdSqlAstTranslator.java,java:S1117,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Rename ""inFunction"" which hides the field declared at line 48.",292.0,5min,0.0,0.0,3.0,3.0,59.0,45.0,15.0,356.0,A,A,2,2,92,332,1.0,connect them via union all but that's probably pretty inefficient and would have to happen,29,4,"This alert (java:S1117) flags a local variable 'inFunction' that hides a field declared at line 48 in FirebirdSqlAstTranslator.java. Variable shadowing can cause subtle logic bugs where the wrong variable is used. The file has moderate complexity (cognitive 45) and a SATD comment about inefficient union-all emulation, suggesting non-trivial logic where shadowing could introduce real defects."
AZ4HYWZ8UdMD1-xUpqiG,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdSqlAstTranslator.java,FirebirdSqlAstTranslator.java,java:S1117,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Rename ""inFunction"" which hides the field declared at line 48.",305.0,5min,0.0,0.0,3.0,3.0,59.0,45.0,15.0,356.0,A,A,2,2,92,332,1.0,connect them via union all but that's probably pretty inefficient and would have to happen,30,5,"This is the same variable shadowing issue (java:S1117) for 'inFunction' in FirebirdSqlAstTranslator.java at line 305, a second occurrence in the same file. Repeated shadowing of the same field increases the risk that the wrong variable is being used in logic, making both instances worth investigating together."
AZ4HYWaRUdMD1-xUpqio,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/H2LegacySqlAstTranslator.java,H2LegacySqlAstTranslator.java,java:S1117,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Rename ""renderAsArray"" which hides the field declared at line 48.",186.0,5min,0.0,0.0,4.0,4.0,56.0,32.0,17.0,311.0,A,A,0,0,0,0,1.0,connect them via union all but that's probably pretty inefficient and would have to happen,32,6,"This alert (java:S1117) flags 'renderAsArray' hiding a field in H2LegacySqlAstTranslator.java. Variable shadowing can cause subtle logic errors, and this file has zero recent activity (0 commits, 0 churn, 0 days since modified), suggesting it may be stale code that hasn't been reviewed recently. The file has moderate complexity (cognitive 32) and a SATD comment about inefficient emulation."
AZ4HYWaRUdMD1-xUpqip,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/H2LegacySqlAstTranslator.java,H2LegacySqlAstTranslator.java,java:S1117,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Rename ""renderAsArray"" which hides the field declared at line 48.",198.0,5min,0.0,0.0,4.0,4.0,56.0,32.0,17.0,311.0,A,A,0,0,0,0,1.0,connect them via union all but that's probably pretty inefficient and would have to happen,33,7,"This is a second occurrence of 'renderAsArray' shadowing the field in H2LegacySqlAstTranslator.java (line 198), paired with alert 32. Both instances together increase the likelihood of a real logic error where the local variable masks the field's value, warranting investigation alongside alert 32."
AZ4HYWaRUdMD1-xUpqim,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/H2LegacySqlAstTranslator.java,H2LegacySqlAstTranslator.java,java:S4274,MEDIUM,MAINTAINABILITY,CODE_SMELL,Replace this assert with a proper check.,65.0,5min,0.0,0.0,4.0,4.0,56.0,32.0,17.0,311.0,A,A,0,0,0,0,1.0,connect them via union all but that's probably pretty inefficient and would have to happen,31,8,"This alert (java:S4274) flags an assert statement in H2LegacySqlAstTranslator.java that should be replaced with a proper check. Asserts are disabled by default in Java production environments, meaning this check provides no runtime protection. The file has zero recent activity (0 commits, 0 churn), suggesting it may not have been reviewed recently."
AZ4HYWYGUdMD1-xUpqgl,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/OracleLegacyDialect.java,OracleLegacyDialect.java,java:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this method to reduce its Cognitive Complexity from 21 to the 15 allowed.,372.0,11min,0.0,0.0,9.0,9.0,280.0,131.0,69.0,1519.0,A,A,14,6,241,9,5.0,"Approximate octet and bit length for clobs since exact size determination would require a custom function | TODO: provide a way to change this without a custom Dialect | also get reported this way, so take care) | Until 12.2 there was a bug in the Oracle query rewriter causing ORA-00918 | when the query contains duplicate implicit aliases in the select clause",16,9,"This cognitive complexity alert (java:S3776) in OracleLegacyDialect.java flags a method with complexity 21 vs. the allowed 15. The file has extremely high overall complexity (cyclomatic 280, cognitive 131), 14 commits, 6 unique authors, and 5 SATD comments including known Oracle bugs, making this complex method in a high-risk file worth refactoring to reduce defect risk."
AZ4HYWXaUdMD1-xUpqgI,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CockroachLegacyDialect.java,CockroachLegacyDialect.java,java:S131,HIGH,MAINTAINABILITY,CODE_SMELL,Add a default case to this switch.,226.0,5min,0.0,0.0,17.0,17.0,218.0,102.0,99.0,1166.0,A,A,15,5,301,33,1.0,TODO: RESTRICT VIOLATION,4,10,"This alert (java:S131) flags a missing default case in a switch statement in CockroachLegacyDialect.java. Missing default cases can cause silent failures when unexpected values are encountered. The file has very high complexity (cyclomatic 218, cognitive 102), 15 commits, 5 unique authors, and a SATD comment about a 'RESTRICT VIOLATION', indicating known issues in an actively maintained complex file."
AZ4HYWXaUdMD1-xUpqgJ,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CockroachLegacyDialect.java,CockroachLegacyDialect.java,java:S131,HIGH,MAINTAINABILITY,CODE_SMELL,Add a default case to this switch.,269.0,5min,0.0,0.0,17.0,17.0,218.0,102.0,99.0,1166.0,A,A,15,5,301,33,1.0,TODO: RESTRICT VIOLATION,5,11,"This is a second missing-default-case alert (java:S131) in CockroachLegacyDialect.java at line 269. The same high-risk file context applies: very high complexity, active development, and a known SATD violation. Multiple missing default cases in the same file compound the risk of unhandled input scenarios."
