file_path,commit_count,unique_authors,churn,days_since_modified,file_age_days
lib/sqlalchemy/connectors/pyodbc.py,3,2,15,116,6121
lib/sqlalchemy/dialects/mssql/base.py,19,8,396,2,6121
lib/sqlalchemy/dialects/mssql/pyodbc.py,3,2,67,2,6121
lib/sqlalchemy/dialects/mysql/aiomysql.py,8,3,129,2,2093
lib/sqlalchemy/dialects/mysql/asyncmy.py,8,3,122,2,1713
lib/sqlalchemy/dialects/mysql/base.py,17,9,1405,2,6121
lib/sqlalchemy/dialects/mysql/enumerated.py,3,2,99,77,3779
lib/sqlalchemy/dialects/mysql/mariadbconnector.py,4,3,109,2,2089
lib/sqlalchemy/dialects/mysql/mysqlconnector.py,7,3,146,2,5970
lib/sqlalchemy/dialects/mysql/mysqldb.py,5,3,112,2,6121
lib/sqlalchemy/dialects/mysql/pymysql.py,4,3,48,2,5583
lib/sqlalchemy/dialects/mysql/reflection.py,4,3,127,2,3779
lib/sqlalchemy/dialects/oracle/base.py,7,7,272,54,6121
lib/sqlalchemy/dialects/oracle/cx_oracle.py,5,4,98,2,6121
lib/sqlalchemy/dialects/oracle/oracledb.py,8,5,42,2,1437
lib/sqlalchemy/dialects/oracle/provision.py,5,2,138,116,2309
lib/sqlalchemy/dialects/postgresql/base.py,32,12,1353,27,4989
lib/sqlalchemy/dialects/postgresql/json.py,5,2,59,81,4527
lib/sqlalchemy/dialects/postgresql/pg8000.py,4,3,23,2,6121
lib/sqlalchemy/dialects/postgresql/psycopg.py,9,4,166,2,1699
lib/sqlalchemy/dialects/postgresql/psycopg2.py,3,2,34,2,6121
lib/sqlalchemy/dialects/postgresql/ranges.py,4,2,49,116,4739
lib/sqlalchemy/dialects/sqlite/aiosqlite.py,7,3,159,2,1919
lib/sqlalchemy/dialects/sqlite/base.py,18,10,569,2,6121
lib/sqlalchemy/dialects/sqlite/provision.py,3,1,39,95,2309
lib/sqlalchemy/dialects/sqlite/pysqlite.py,7,4,206,2,6121
lib/sqlalchemy/engine/base.py,13,3,150,2,6770
lib/sqlalchemy/engine/characteristics.py,1,1,2,116,2071
lib/sqlalchemy/engine/create.py,7,3,74,2,2586
lib/sqlalchemy/engine/cursor.py,10,4,552,2,2210
lib/sqlalchemy/engine/default.py,12,6,65,54,7290
lib/sqlalchemy/engine/events.py,2,2,4,116,2301
lib/sqlalchemy/engine/interfaces.py,9,7,124,20,5024
lib/sqlalchemy/engine/reflection.py,2,2,3,2,6121
lib/sqlalchemy/engine/result.py,8,4,583,53,5024
lib/sqlalchemy/engine/url.py,1,1,2,116,7290
lib/sqlalchemy/engine/util.py,1,1,2,116,5024
lib/sqlalchemy/event/attr.py,3,3,52,2,4671
lib/sqlalchemy/event/legacy.py,3,2,21,2,4671
lib/sqlalchemy/exc.py,4,2,97,2,6575
lib/sqlalchemy/ext/associationproxy.py,7,4,71,2,7128
lib/sqlalchemy/ext/asyncio/base.py,4,3,12,116,2136
lib/sqlalchemy/ext/asyncio/engine.py,8,5,34,2,2136
lib/sqlalchemy/ext/asyncio/scoping.py,4,2,48,103,1789
lib/sqlalchemy/ext/asyncio/session.py,6,3,50,2,2136
lib/sqlalchemy/ext/automap.py,3,2,25,2,4509
lib/sqlalchemy/ext/compiler.py,2,2,3,2,6202
lib/sqlalchemy/ext/declarative/__init__.py,1,1,2,116,5026
lib/sqlalchemy/ext/declarative/extensions.py,4,2,13,2,2078
lib/sqlalchemy/ext/horizontal_shard.py,3,3,6,2,5887
lib/sqlalchemy/ext/hybrid.py,8,6,480,39,5756
lib/sqlalchemy/ext/instrumentation.py,2,2,4,2,5068
lib/sqlalchemy/ext/mutable.py,4,2,70,39,5611
lib/sqlalchemy/ext/mypy/apply.py,0,0,0,0,0
lib/sqlalchemy/ext/mypy/decl_class.py,0,0,0,0,0
lib/sqlalchemy/ext/mypy/infer.py,0,0,0,0,0
lib/sqlalchemy/ext/mypy/names.py,0,0,0,0,0
lib/sqlalchemy/ext/mypy/plugin.py,0,0,0,0,0
lib/sqlalchemy/ext/mypy/util.py,0,0,0,0,0
lib/sqlalchemy/orm/attributes.py,8,2,51,116,7140
lib/sqlalchemy/orm/bulk_persistence.py,7,5,73,116,1372
lib/sqlalchemy/orm/clsregistry.py,1,1,2,116,2078
lib/sqlalchemy/orm/collections.py,3,3,5,2,6862
lib/sqlalchemy/orm/context.py,11,4,150,2,2352
lib/sqlalchemy/orm/decl_api.py,15,4,1398,10,2092
lib/sqlalchemy/orm/decl_base.py,12,3,1762,108,2078
lib/sqlalchemy/orm/dependency.py,3,2,8,2,7290
lib/sqlalchemy/orm/descriptor_props.py,11,3,132,2,5620
lib/sqlalchemy/orm/dynamic.py,3,3,14,2,6862
lib/sqlalchemy/orm/events.py,10,3,993,2,5716
lib/sqlalchemy/orm/interfaces.py,8,4,101,2,7159
lib/sqlalchemy/orm/loading.py,8,4,42,2,5069
lib/sqlalchemy/orm/mapper.py,14,4,195,2,6202
lib/sqlalchemy/orm/path_registry.py,4,2,32,48,4652
lib/sqlalchemy/orm/persistence.py,4,3,19,2,5213
lib/sqlalchemy/orm/properties.py,10,2,285,2,7220
lib/sqlalchemy/orm/query.py,9,5,57,2,5618
lib/sqlalchemy/orm/relationships.py,9,3,138,2,5207
lib/sqlalchemy/orm/session.py,13,9,147,2,6568
lib/sqlalchemy/orm/state.py,3,2,29,116,6202
lib/sqlalchemy/orm/state_changes.py,5,4,12,116,1620
lib/sqlalchemy/orm/strategies.py,11,6,92,18,6930
lib/sqlalchemy/orm/strategy_options.py,6,4,76,18,4598
lib/sqlalchemy/orm/unitofwork.py,2,2,7,2,7290
lib/sqlalchemy/orm/util.py,12,2,187,101,7290
lib/sqlalchemy/orm/writeonly.py,5,2,24,116,1322
lib/sqlalchemy/pool/base.py,6,4,20,90,2888
lib/sqlalchemy/pool/events.py,2,1,29,103,2301
lib/sqlalchemy/pool/impl.py,6,2,24,2,2888
lib/sqlalchemy/sql/_typing.py,7,3,40,108,1582
lib/sqlalchemy/sql/annotation.py,4,3,14,116,4654
lib/sqlalchemy/sql/base.py,19,6,816,2,4654
lib/sqlalchemy/sql/cache_key.py,3,2,49,116,1669
lib/sqlalchemy/sql/coercions.py,5,3,13,116,2567
lib/sqlalchemy/sql/compiler.py,37,12,879,2,4638
lib/sqlalchemy/sql/crud.py,8,3,159,2,4243
lib/sqlalchemy/sql/ddl.py,12,5,1214,2,4654
lib/sqlalchemy/sql/default_comparator.py,3,2,366,116,4654
lib/sqlalchemy/sql/dml.py,10,3,105,2,4654
lib/sqlalchemy/sql/elements.py,27,10,1450,2,4654
lib/sqlalchemy/sql/events.py,1,1,2,116,2301
lib/sqlalchemy/sql/lambdas.py,6,3,32,2,2337
lib/sqlalchemy/sql/naming.py,2,2,7,116,4481
lib/sqlalchemy/sql/operators.py,7,3,481,116,6840
lib/sqlalchemy/sql/schema.py,15,5,998,2,4654
lib/sqlalchemy/sql/selectable.py,34,10,672,2,4654
lib/sqlalchemy/sql/sqltypes.py,25,4,471,2,4654
lib/sqlalchemy/sql/traversals.py,3,2,8,2,2446
lib/sqlalchemy/sql/util.py,9,2,36,2,6840
lib/sqlalchemy/sql/visitors.py,5,3,14,116,6840
lib/sqlalchemy/testing/assertions.py,4,1,18,116,4973
lib/sqlalchemy/testing/assertsql.py,3,1,9,116,4973
lib/sqlalchemy/testing/engines.py,6,2,138,2,4973
lib/sqlalchemy/testing/entities.py,1,1,2,116,4973
lib/sqlalchemy/testing/exclusions.py,3,1,49,116,4973
lib/sqlalchemy/testing/fixtures/base.py,4,2,30,79,1052
lib/sqlalchemy/testing/fixtures/mypy.py,4,3,87,2,1052
lib/sqlalchemy/testing/fixtures/orm.py,1,1,2,116,1052
lib/sqlalchemy/testing/fixtures/sql.py,3,1,35,116,1052
lib/sqlalchemy/testing/pickleable.py,1,1,2,116,4973
lib/sqlalchemy/testing/plugin/plugin_base.py,6,2,65,116,4451
lib/sqlalchemy/testing/plugin/pytestplugin.py,5,2,48,2,4451
lib/sqlalchemy/testing/provision.py,9,2,125,2,4255
lib/sqlalchemy/testing/requirements.py,19,7,152,96,4973
lib/sqlalchemy/testing/schema.py,2,1,32,116,4973
lib/sqlalchemy/testing/util.py,4,2,18,2,4973
lib/sqlalchemy/util/_concurrency_py3k.py,0,0,0,0,0
