issue_key,file_path,file,rule,impact_severity,impact_quality,type,message,line,effort,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,sqale_index,lines,reliability_rating,security_rating,commit_count,unique_authors,churn,days_since_modified,satd_count,satd_text,pool_rank
AZ4INX54UdMD1-xUqsBJ,lib/sqlalchemy/connectors/pyodbc.py,pyodbc.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 36 to the 15 allowed.,62,26min,0.0,0.0,1.0,1.0,40.0,52.0,26.0,250.0,A,A,3,2,15,116,1.0,"non-tuples as well as tuples, however it seems to assume ""0""",1
AZ4INX28UdMD1-xUqr7f,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename field ""visit_DATETIME"" to prevent any misunderstanding/clash with method ""visit_datetime"" defined on line 1698",1702,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",2
AZ4INX28UdMD1-xUqr7g,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename method ""visit_TEXT"" to prevent any misunderstanding/clash with method ""visit_text"" defined on line 1724",1739,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",3
AZ4INX28UdMD1-xUqr7h,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename field ""visit_DATE"" to prevent any misunderstanding/clash with method ""visit_date"" defined on line 1754",1758,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",4
AZ4INX28UdMD1-xUqr7i,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename method ""visit_time"" to prevent any misunderstanding/clash with method ""visit_TIME"" defined on line 1685",1763,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",5
AZ4INX28UdMD1-xUqr7l,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,2533,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",6
AZ4INX21UdMD1-xUqr7X,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,secrets:S6703,HIGH,SECURITY,VULNERABILITY,Make sure this database password gets changed and removed from the code.,35,30min,0.0,1.0,15.0,16.0,65.0,73.0,69.0,746.0,A,E,3,2,67,2,,,7
AZ4INX4IUdMD1-xUqr9-,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",118,5min,0.0,0.0,16.0,16.0,54.0,16.0,64.0,334.0,A,A,8,3,129,2,,,8
AZ4INX4IUdMD1-xUqr-I,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",274,5min,0.0,0.0,16.0,16.0,54.0,16.0,64.0,334.0,A,A,8,3,129,2,,,9
AZ4INX4IUdMD1-xUqr-J,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",278,5min,0.0,0.0,16.0,16.0,54.0,16.0,64.0,334.0,A,A,8,3,129,2,,,10
AZ4INX4IUdMD1-xUqr-L,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S2638,HIGH,MAINTAINABILITY,CODE_SMELL,Add missing parameters _translate_args.,312,15min,0.0,0.0,16.0,16.0,54.0,16.0,64.0,334.0,A,A,8,3,129,2,,,11
AZ4INX4RUdMD1-xUqr-T,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1186,HIGH,MAINTAINABILITY,CODE_SMELL,"Add a nested comment explaining why this method is empty, or complete the implementation.",119,5min,0.0,0.0,14.0,14.0,55.0,19.0,72.0,338.0,A,A,8,3,122,2,,,12
AZ4INX4RUdMD1-xUqr-a,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename field ""Binary"" to prevent any misunderstanding/clash with field ""BINARY"" defined on line 267",270,10min,0.0,0.0,14.0,14.0,55.0,19.0,72.0,338.0,A,A,8,3,122,2,,,13
