rank,file,line,rule,type,message,effort
1,pyodbc.py,35,secrets:S6703,VULNERABILITY,Make sure this database password gets changed and removed from the code.,30min
2,base.py,218,secrets:S6697,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,30min
3,base.py,323,secrets:S6697,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,30min
4,base.py,343,secrets:S6697,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,30min
5,base.py,1377,python:S1515,CODE_SMELL,"Add a parameter to function ""replace"" and use variable ""column"" as its default value;The value of ""column"" might change at the next loop iteration.",30min
6,base.py,1106,python:S3923,BUG,Remove this if statement or edit its code blocks so that they're not all the same.,15min
7,cx_oracle.py,506,python:S3923,BUG,Remove this if statement or edit its code blocks so that they're not all the same.,15min
8,base.py,2533,python:S3776,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,10min
9,pyodbc.py,62,python:S3776,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 36 to the 15 allowed.,26min
10,base.py,1702,python:S1845,CODE_SMELL,"Rename field ""visit_DATETIME"" to prevent any misunderstanding/clash with method ""visit_datetime"" defined on line 1698",10min
11,base.py,1739,python:S1845,CODE_SMELL,"Rename method ""visit_TEXT"" to prevent any misunderstanding/clash with method ""visit_text"" defined on line 1724",10min
12,base.py,1758,python:S1845,CODE_SMELL,"Rename field ""visit_DATE"" to prevent any misunderstanding/clash with method ""visit_date"" defined on line 1754",10min
13,base.py,1763,python:S1845,CODE_SMELL,"Rename method ""visit_time"" to prevent any misunderstanding/clash with method ""visit_TIME"" defined on line 1685",10min
14,aiomysql.py,312,python:S2638,CODE_SMELL,Add missing parameters _translate_args.,15min
15,asyncmy.py,314,python:S2638,CODE_SMELL,Add missing parameters _translate_args.,15min
