file_path,complexity,bugs,code_smells,cognitive_complexity,sqale_index,violations,vulnerabilities,lines,reliability_rating,security_rating
lib/sqlalchemy/util/__init__.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,A,A
lib/sqlalchemy/dialects/sqlite/__init__.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,A,A
lib/sqlalchemy/dialects/mssql/__init__.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,A,A
lib/sqlalchemy/dialects/postgresql/__init__.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,A,A
lib/sqlalchemy/dialects/mysql/__init__.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,A,A
lib/sqlalchemy/dialects/oracle/__init__.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,A,A
lib/sqlalchemy/dialects/__init__.py,5.0,0.0,0.0,8.0,0.0,0.0,0.0,62.0,A,A
lib/sqlalchemy/engine/__init__.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,A,A
lib/sqlalchemy/connectors/__init__.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,A,A
lib/sqlalchemy/testing/plugin/__init__.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,A,A
lib/sqlalchemy/testing/fixtures/__init__.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,A,A
lib/sqlalchemy/testing/__init__.py,1.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,A,A
lib/sqlalchemy/testing/suite/__init__.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,A,A
lib/sqlalchemy/sql/__init__.py,2.0,0.0,1.0,1.0,5.0,1.0,0.0,146.0,A,A
lib/sqlalchemy/orm/__init__.py,1.0,0.0,1.0,0.0,5.0,1.0,0.0,171.0,A,A
lib/sqlalchemy/ext/declarative/__init__.py,4.0,1.0,0.0,0.0,0.0,1.0,0.0,66.0,E,A
